"Date of Download: 2022-03-20_19:28:59"
"Search Parameters: Data Level:all  Trait List:  Trial List:6893,6631,6605,6632,6606,6332,6635,6943,5337  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","L chromometer value|CO_334:0002065","a chromometer value|CO_334:0002066","apical pubescence visual rating 0-2|CO_334:0000309","b chromometer value|CO_334:0002064","branching level counting|CO_334:0000079","cassava anthractnose disease incidence in 6-month|CO_334:0000181","cassava anthractnose disease severity in 6-month|CO_334:0000184","cassava bacterial blight incidence 3-month evaluation|CO_334:0000178","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","cassava green mite severity first evaluation|CO_334:0000189","cassava mosaic disease incidence 1-month evaluation|CO_334:0000195","cassava mosaic disease incidence 3-month evaluation|CO_334:0000196","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","cassava mosaic disease severity 3-month evaluation|CO_334:0000192","central leaf shape visual rating 1-10|CO_334:0000119","dry matter content percentage|CO_334:0000092","dry yield|CO_334:0000014","ease of peeling root cortex visual rating 1-3|CO_334:0000308","first apical branch height measurement in cm|CO_334:0000106","first fully expanded leaf color visual rating 1-9|CO_334:0000102","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","fufu dry weight in kg|CO_334:0002019","fufu fibre weight in g|CO_334:0002016","fufu initial weight in kg|CO_334:0002013","fufu peel weight in kg|CO_334:0002014","fufu peeled root weight in kg|CO_334:0002015","fufu pressed weight in kg|CO_334:0002018","gari fried weight in kg|CO_334:0002026","gari initial weight in kg|CO_334:0002020","gari mash weight in kg|CO_334:0002023","gari peel weight in kg|CO_334:0002021","gari peeled root weight in kg|CO_334:0002022","gari pressed weight in kg|CO_334:0002024","gari pulverised weight in kg|CO_334:0002025","gari shaft coarse weight in g|CO_334:0002027","gari shaft medium weight in g|CO_334:0002028","harvest index variable|CO_334:0000015","initial vigor assessment 1-7|CO_334:0000009","petiole color visual rating 1-9|CO_334:0000023","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root neck length visual rating 0-7|CO_334:0000022","root number counting|CO_334:0000011","rotted storage root counting|CO_334:0000084","sprout count at one-month|CO_334:0000213","sprout count at six-month|CO_334:0000215","sprout count at three-month|CO_334:0000214","sprouting proportion|CO_334:0000008","starch content percentage|CO_334:0000071","staygreen visual scale 1-9|CO_334:0000224","storage root cortex color visual rating 1-4|CO_334:0000115","storage root periderm color visual rating 1-4|CO_334:0000064","storage root pulp color visual rating 1-3|CO_334:0000021","storage root shape visual rating 1-6|CO_334:0000020","storage root size visual rating 1-7|CO_334:0000019","total carotenoid by chart 1-8|CO_334:0000161","unexpanded apical leaf color visual rating 1-9|CO_334:0000101","notes"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","1272","IITA-TMS-IBA011331","01/1331,I011331,TMS 01/1331,TMS-I011331","plot","1330263","2018-17.GS.GeneticGain.UB-plot100_IITA-TMS-IBA011331","1","2","100","","","test","","84.07","3.46","","40.07","","","","","","","","","","","","17","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","2","3","2","2","5","3","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","24408","IITA-TMS-MM013004","MM01/3004,MM013004","plot","1330136","2018-17.GS.GeneticGain.UB-plot101_IITA-TMS-MM013004","1","2","101","","","test","","82.12","4.385","","37.75","","","","","","","","","","","","11","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","2","3","1","2","5","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","39509","IITA-TMS-MM011161","MM01/1161,MM011161","plot","1330511","2018-17.GS.GeneticGain.UB-plot102_IITA-TMS-MM011161","1","2","102","","","test","","85.615","1.27","","33.665","","","","","","","","","","","","25","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","3","1","2","5","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","24443","IITA-TMS-MM010540","MM01/0540,MM010540","plot","1330629","2018-17.GS.GeneticGain.UB-plot103_IITA-TMS-MM010540","1","2","103","","","test","","86.615","-0.23","","23.18","","","","","","","","","","","","20","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","3","1","2","3","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","24410","IITA-TMS-MM011196","MM01/1196,MM011196","plot","1330578","2018-17.GS.GeneticGain.UB-plot104_IITA-TMS-MM011196","1","2","104","","","test","","88.595","0.32","","34.95","","","","","","","","","","","","22","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","3","1","2","5","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","28600","IITA-TMS-ZAR010087","Z01/0087,Z010087","plot","1330891","2018-17.GS.GeneticGain.UB-plot105_IITA-TMS-ZAR010087","1","2","105","","","test","","86.605","0.54","","18.745","","","","","","","","","","","","23","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","3","1","2","5","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","5","IITA-TMS-IBA30572","30572,I30572,IBA30572,IITA-IITA-TMS-IBA30572,MIGYERA,NASE3,TMS-I30572,TMS-IBA30572","plot","1330227","2018-17.GS.GeneticGain.UB-plot107_IITA-TMS-IBA30572","1","2","107","","","check","","88.59","0.905","","18.93","","","","","","","","","","","","26","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","3","1","2","5","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","39671","TMEB419","GBAZEKOUTE,OBAMA,TME 419","plot","1330415","2018-17.GS.GeneticGain.UB-plot108_TMEB419","1","2","108","","","test","","88.195","0.385","","20.57","","","","","","","","","","","","20","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","3","1","2","5","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","1938","IITA-TMS-IBA000093","00/0093,I000093,TMS 00/0093,TMS-I000093","plot","1330322","2018-17.GS.GeneticGain.UB-plot109_IITA-TMS-IBA000093","1","2","109","","","test","","87.72","0.66","","30.11","","","","","","","","","","","","26","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","","1","2","5","1","","TZMRK180001_1-1"
"2017","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","5337","17.GS.GeneticGain.UB","Genetic Gain trial in Ubiaja (823 Clones) for breeding season 2017-18","Augmented","1","5","0.9025","no","no","2017-July-14","2018-July-14","5","Ubiaja","91906","IITA-TMS-IBA070178","I070178","plot","1330833","2018-17.GS.GeneticGain.UB-plot10_IITA-TMS-IBA070178","1","1","10","","","test","","84.75","1.56","","22.745","","","","","","","","","","","","28","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","2","1","2","5","1","","TZMRK180001_1-1"
